Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
1,353,200.0,0.000782,0.000724,0.988961,0.00043,5142.529296875,257.6558837890625
3,355,200.0,0.0007,0.0007,0.7818,0.001,8.125717163085938,0.04038001969456673
2,356,200.0,0.000782,0.000724,0.988961,0.00043,5343.03564453125,268.9847412109375
1,354,200.0,0.000782,0.000724,0.988961,0.00043,5124.85888671875,269.48236083984375
3,356,200.0,0.0007,0.0007,0.7818,0.001,9.666670799255371,0.043625932186841965
2,357,99.0,0.000782,0.000724,0.988961,0.00043,1560.4180908203125,111.1030502319336
2,358,110.0,0.000782,0.000724,0.988961,0.00043,1587.4427490234375,119.03765869140625
3,357,182.0,0.0007,0.0007,0.7818,0.001,13.733559608459473,0.024878617376089096
1,355,200.0,0.000782,0.000724,0.988961,0.00043,4964.39794921875,257.2794494628906
2,359,125.0,0.000782,0.000724,0.988961,0.00043,2306.362060546875,145.8224334716797
3,358,117.0,0.0007,0.0007,0.7818,0.001,-21.09917449951172,0.09083329141139984
1,356,136.0,0.000782,0.000724,0.988961,0.00043,2759.070556640625,174.95419311523438
3,359,91.0,0.0007,0.0007,0.7818,0.001,12.208535194396973,0.037133701145648956
3,360,35.0,0.0007,0.0007,0.7818,0.001,0.09327322989702225,0.061302799731492996
2,360,175.0,0.000782,0.000724,0.988961,0.00043,3850.678466796875,223.190185546875
1,357,169.0,0.000782,0.000724,0.988961,0.00043,3938.96533203125,226.58982849121094
2,361,136.0,0.000782,0.000724,0.988961,0.00043,2826.6845703125,172.73768615722656
3,361,200.0,0.0007,0.0007,0.7818,0.001,-14.99323844909668,0.028994888067245483
1,358,127.0,0.000782,0.000724,0.988961,0.00043,2597.901611328125,159.2161865234375
3,362,72.0,0.0007,0.0007,0.7818,0.001,5.078222274780273,0.03819090873003006
2,362,116.0,0.000782,0.000724,0.988961,0.00043,2145.0703125,137.50880432128906
1,359,188.0,0.000782,0.000724,0.988961,0.00043,4655.40283203125,238.7401580810547
3,363,179.0,0.0007,0.0007,0.7818,0.001,-20.543071746826172,0.08024565130472183
2,363,200.0,0.000782,0.000724,0.988961,0.00043,5376.5546875,263.7539978027344
1,360,123.0,0.000782,0.000724,0.988961,0.00043,2349.656982421875,148.8539276123047
3,364,109.0,0.0007,0.0007,0.7818,0.001,-3.2982988357543945,0.049917977303266525
2,364,103.0,0.000782,0.000724,0.988961,0.00043,1601.491455078125,113.17052459716797
1,361,111.0,0.000782,0.000724,0.988961,0.00043,1991.60302734375,131.3407440185547
2,365,89.0,0.000782,0.000724,0.988961,0.00043,1190.677978515625,88.03319549560547
3,365,159.0,0.0007,0.0007,0.7818,0.001,-1.6582438945770264,0.05199814960360527
3,366,15.0,0.0007,0.0007,0.7818,0.001,-3.9578933715820312,0.1326829195022583
3,367,55.0,0.0007,0.0007,0.7818,0.001,10.03821849822998,0.055136632174253464
2,366,159.0,0.000782,0.000724,0.988961,0.00043,3785.956787109375,203.3060760498047
1,362,152.0,0.000782,0.000724,0.988961,0.00043,3321.07421875,199.9000701904297
3,368,112.0,0.0007,0.0007,0.7818,0.001,-22.458494186401367,0.16141651570796967
3,369,97.0,0.0007,0.0007,0.7818,0.001,20.580707550048828,0.03944503888487816
2,367,184.0,0.000782,0.000724,0.988961,0.00043,4165.71630859375,227.5169219970703
3,370,28.0,0.0007,0.0007,0.7818,0.001,0.11786624044179916,0.07059512287378311
1,363,200.0,0.000782,0.000724,0.988961,0.00043,5005.197265625,266.99139404296875
3,371,94.0,0.0007,0.0007,0.7818,0.001,8.113931655883789,0.04756584390997887
1,364,97.0,0.000782,0.000724,0.988961,0.00043,1370.367431640625,95.51006317138672
2,368,200.0,0.000782,0.000724,0.988961,0.00043,5248.37109375,255.63792419433594
1,365,118.0,0.000782,0.000724,0.988961,0.00043,2227.881591796875,139.46775817871094
3,372,200.0,0.0007,0.0007,0.7818,0.001,44.5514030456543,0.026897311210632324
3,373,85.0,0.0007,0.0007,0.7818,0.001,8.477299690246582,0.036938827484846115
2,369,200.0,0.000782,0.000724,0.988961,0.00043,4752.65576171875,246.3776397705078
1,366,200.0,0.000782,0.000724,0.988961,0.00043,5160.2841796875,264.2799072265625
1,367,108.0,0.000782,0.000724,0.988961,0.00043,2017.7320556640625,116.4633560180664
2,370,200.0,0.000782,0.000724,0.988961,0.00043,4814.85302734375,231.7169952392578
3,374,200.0,0.0007,0.0007,0.7818,0.001,30.11729621887207,0.026868605986237526
2,371,44.0,0.000782,0.000724,0.988961,0.00043,299.60919189453125,19.490459442138672
1,368,160.0,0.000782,0.000724,0.988961,0.00043,3558.1796875,196.57936096191406
3,375,190.0,0.0007,0.0007,0.7818,0.001,-21.176837921142578,0.08298652619123459
2,372,189.0,0.000782,0.000724,0.988961,0.00043,4706.90625,249.1332550048828
1,369,200.0,0.000782,0.000724,0.988961,0.00043,5018.47900390625,261.9205017089844
3,376,200.0,0.0007,0.0007,0.7818,0.001,-41.93352127075195,0.056248366832733154
1,370,124.0,0.000782,0.000724,0.988961,0.00043,2251.691162109375,144.65916442871094
2,373,200.0,0.000782,0.000724,0.988961,0.00043,5385.560546875,259.48931884765625
3,377,88.0,0.0007,0.0007,0.7818,0.001,-7.465174198150635,0.04942822828888893
