Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
2,34,96.0,0.001,0.001,0.99,0.0003,-462.28564453125,52.10832595825195
1,41,58.0,0.001,0.001,0.99,0.0007,-696.1917724609375,68.83580780029297
2,35,58.0,0.001,0.001,0.99,0.0003,-301.8998718261719,30.250507354736328
3,50,200.0,0.001,0.001,0.99,0.0003,1723.019775390625,75.1479721069336
1,42,142.0,0.001,0.001,0.99,0.0007,611.1852416992188,62.680389404296875
2,36,125.0,0.001,0.001,0.99,0.0003,217.22401428222656,69.75749969482422
1,43,56.0,0.001,0.001,0.99,0.0007,-427.510009765625,28.44732093811035
1,44,21.0,0.001,0.001,0.99,0.0007,-350.3033447265625,91.0848388671875
2,37,91.0,0.001,0.001,0.99,0.0003,-60.145347595214844,29.682584762573242
1,45,82.0,0.001,0.001,0.99,0.0007,-19.10668182373047,26.853759765625
3,51,200.0,0.001,0.001,0.99,0.0003,1080.282958984375,92.93517303466797
2,38,91.0,0.001,0.001,0.99,0.0003,13.22929859161377,25.085725784301758
1,46,91.0,0.001,0.001,0.99,0.0007,60.77373504638672,26.375110626220703
1,47,31.0,0.001,0.001,0.99,0.0007,-401.7140197753906,39.035316467285156
2,39,78.0,0.001,0.001,0.99,0.0003,-132.19219970703125,21.46968650817871
1,48,18.0,0.001,0.001,0.99,0.0007,-278.7831726074219,57.15458297729492
2,40,40.0,0.001,0.001,0.99,0.0003,-279.08099365234375,33.438533782958984
3,52,200.0,0.001,0.001,0.99,0.0003,1342.7874755859375,67.50408172607422
1,49,101.0,0.001,0.001,0.99,0.0007,452.1573181152344,43.357666015625
2,41,109.0,0.001,0.001,0.99,0.0003,398.97869873046875,34.54075241088867
3,53,111.0,0.001,0.001,0.99,0.0003,-709.8096313476562,55.641204833984375
1,50,58.0,0.001,0.001,0.99,0.0007,-70.33238983154297,13.66417121887207
2,42,101.0,0.001,0.001,0.99,0.0003,164.19088745117188,32.868858337402344
1,51,66.0,0.001,0.001,0.99,0.0007,-146.32666015625,14.617146492004395
1,52,67.0,0.001,0.001,0.99,0.0007,11.427724838256836,14.70465087890625
3,54,200.0,0.001,0.001,0.99,0.0003,1153.0582275390625,60.87538528442383
2,43,147.0,0.001,0.001,0.99,0.0003,713.609375,71.87017059326172
1,53,80.0,0.001,0.001,0.99,0.0007,204.49822998046875,23.002365112304688
1,54,62.0,0.001,0.001,0.99,0.0007,-67.58243560791016,10.403244972229004
2,44,120.0,0.001,0.001,0.99,0.0003,339.58026123046875,37.0128288269043
3,55,200.0,0.001,0.001,0.99,0.0003,845.2340087890625,56.61727523803711
1,55,87.0,0.001,0.001,0.99,0.0007,381.3544921875,23.31928062438965
2,45,86.0,0.001,0.001,0.99,0.0003,-68.6320571899414,20.439197540283203
1,56,93.0,0.001,0.001,0.99,0.0007,534.750244140625,27.181406021118164
2,46,72.0,0.001,0.001,0.99,0.0003,-230.58253479003906,18.581336975097656
3,56,200.0,0.001,0.001,0.99,0.0003,730.0574951171875,55.6190299987793
1,57,126.0,0.001,0.001,0.99,0.0007,1194.565185546875,49.33260726928711
2,47,119.0,0.001,0.001,0.99,0.0003,546.5636596679688,37.949947357177734
3,57,104.0,0.001,0.001,0.99,0.0003,-784.2754516601562,52.642147064208984
1,58,119.0,0.001,0.001,0.99,0.0007,577.35546875,37.870933532714844
2,48,150.0,0.001,0.001,0.99,0.0003,909.8214111328125,63.2718505859375
3,58,83.0,0.001,0.001,0.99,0.0003,-768.6311645507812,52.02815628051758
1,59,190.0,0.001,0.001,0.99,0.0007,2535.92724609375,104.27648162841797
2,49,148.0,0.001,0.001,0.99,0.0003,419.1250305175781,48.089111328125
3,59,124.0,0.001,0.001,0.99,0.0003,44.26078414916992,24.49500846862793
3,60,139.0,0.001,0.001,0.99,0.0003,413.2182922363281,32.488582611083984
1,60,182.0,0.001,0.001,0.99,0.0007,1814.7830810546875,80.73091888427734
2,50,200.0,0.001,0.001,0.99,0.0003,1274.0699462890625,70.75542449951172
1,61,134.0,0.001,0.001,0.99,0.0007,522.7111206054688,35.05485153198242
3,61,200.0,0.001,0.001,0.99,0.0003,1411.4019775390625,70.6775894165039
2,51,200.0,0.001,0.001,0.99,0.0003,782.8671264648438,55.56832504272461
1,62,105.0,0.001,0.001,0.99,0.0007,90.38185119628906,20.155073165893555
1,63,119.0,0.001,0.001,0.99,0.0007,287.5882263183594,23.33415985107422
3,62,200.0,0.001,0.001,0.99,0.0003,1550.3104248046875,62.31136703491211
2,52,200.0,0.001,0.001,0.99,0.0003,480.37432861328125,64.32384490966797
1,64,128.0,0.001,0.001,0.99,0.0007,519.2926635742188,24.420852661132812
3,63,172.0,0.001,0.001,0.99,0.0003,363.5931396484375,29.60211753845215
1,65,122.0,0.001,0.001,0.99,0.0007,411.59564208984375,21.459943771362305
2,53,200.0,0.001,0.001,0.99,0.0003,43.578086853027344,81.83171844482422
3,64,200.0,0.001,0.001,0.99,0.0003,413.65802001953125,42.83832931518555
1,66,177.0,0.001,0.001,0.99,0.0007,1401.5240478515625,47.98546600341797
2,54,200.0,0.001,0.001,0.99,0.0003,216.59933471679688,60.6871452331543
3,65,156.0,0.001,0.001,0.99,0.0003,272.1980285644531,23.09716796875
1,67,149.0,0.001,0.001,0.99,0.0007,98.67509460449219,34.599918365478516
2,55,200.0,0.001,0.001,0.99,0.0003,742.9417114257812,56.84260177612305
3,66,141.0,0.001,0.001,0.99,0.0003,-50.12282180786133,17.362316131591797
1,68,200.0,0.001,0.001,0.99,0.0007,473.51171875,59.499267578125
2,56,200.0,0.001,0.001,0.99,0.0003,235.47068786621094,59.20585250854492
3,67,164.0,0.001,0.001,0.99,0.0003,400.8708801269531,21.64728355407715
3,68,156.0,0.001,0.001,0.99,0.0003,390.2389221191406,18.521533966064453
2,57,200.0,0.001,0.001,0.99,0.0003,205.88002014160156,56.97638702392578
1,69,200.0,0.001,0.001,0.99,0.0007,733.8546752929688,52.34873580932617
3,69,188.0,0.001,0.001,0.99,0.0003,956.18408203125,27.280786514282227
1,70,200.0,0.001,0.001,0.99,0.0007,113.58467102050781,68.85511016845703
2,58,200.0,0.001,0.001,0.99,0.0003,92.90589904785156,64.52400970458984
3,70,99.0,0.001,0.001,0.99,0.0003,-2387.280517578125,253.9016571044922
1,71,200.0,0.001,0.001,0.99,0.0007,755.56884765625,56.90289306640625
2,59,200.0,0.001,0.001,0.99,0.0003,-199.01531982421875,70.05778503417969
3,71,200.0,0.001,0.001,0.99,0.0003,297.8287048339844,73.27896118164062
1,72,119.0,0.001,0.001,0.99,0.0007,-1022.9946899414062,59.73929977416992
2,60,200.0,0.001,0.001,0.99,0.0003,-25.2423095703125,56.11033248901367
3,72,200.0,0.001,0.001,0.99,0.0003,362.3399658203125,50.972164154052734
1,73,200.0,0.001,0.001,0.99,0.0007,1532.8765869140625,53.14130783081055
2,61,200.0,0.001,0.001,0.99,0.0003,265.0683898925781,60.06239700317383
1,74,200.0,0.001,0.001,0.99,0.0007,964.9425048828125,43.4517822265625
3,73,200.0,0.001,0.001,0.99,0.0003,740.9181518554688,60.829586029052734
2,62,200.0,0.001,0.001,0.99,0.0003,-56.54587936401367,50.775630950927734
3,74,113.0,0.001,0.001,0.99,0.0003,-918.3079223632812,41.396060943603516
1,75,200.0,0.001,0.001,0.99,0.0007,158.17816162109375,45.892372131347656
2,63,200.0,0.001,0.001,0.99,0.0003,41.804927825927734,72.7823715209961
3,75,200.0,0.001,0.001,0.99,0.0003,723.8810424804688,23.222782135009766
1,76,200.0,0.001,0.001,0.99,0.0007,596.7791137695312,39.19510269165039
3,76,114.0,0.001,0.001,0.99,0.0003,-621.30908203125,23.888399124145508
2,64,200.0,0.001,0.001,0.99,0.0003,-119.76558685302734,54.61640167236328
1,77,200.0,0.001,0.001,0.99,0.0007,-336.63720703125,46.4580192565918
3,77,200.0,0.001,0.001,0.99,0.0003,421.4604797363281,27.462011337280273
2,65,200.0,0.001,0.001,0.99,0.0003,117.17864990234375,41.37525177001953
1,78,200.0,0.001,0.001,0.99,0.0007,-923.74267578125,68.09033966064453
3,78,163.0,0.001,0.001,0.99,0.0003,223.85093688964844,17.600627899169922
2,66,200.0,0.001,0.001,0.99,0.0003,-208.0399627685547,48.88185119628906
1,79,200.0,0.001,0.001,0.99,0.0007,-190.161865234375,66.5829849243164
3,79,198.0,0.001,0.001,0.99,0.0003,920.518310546875,22.406002044677734
2,67,200.0,0.001,0.001,0.99,0.0003,434.0022277832031,37.78434371948242
1,80,139.0,0.001,0.001,0.99,0.0007,-1901.1474609375,248.61172485351562
