Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Entropy Coefficient,Actor Loss,Critic loss
2,303,88.0,0.0009,0.0007,0.8556,0.001,0.12425309419631958,0.3968827724456787
2,304,27.0,0.0009,0.0007,0.8556,0.001,0.2589450776576996,0.2595534026622772
3,304,32.0,0.001123,0.000443,1,0.001018,8.175484657287598,19.626087188720703
1,302,94.0,0.001123,0.000443,1,0.001018,24.585315704345703,255.9303436279297
2,305,33.0,0.0009,0.0007,0.8556,0.001,0.24459484219551086,0.246930792927742
2,306,16.0,0.0009,0.0007,0.8556,0.001,-1.313669204711914,0.8037528991699219
2,307,21.0,0.0009,0.0007,0.8556,0.001,-0.29465973377227783,0.38854703307151794
3,305,88.0,0.001123,0.000443,1,0.001018,19.415016174316406,214.47386169433594
1,303,135.0,0.001123,0.000443,1,0.001018,35.49856185913086,545.9686889648438
3,306,47.0,0.001123,0.000443,1,0.001018,12.469935417175293,52.435646057128906
2,308,79.0,0.0009,0.0007,0.8556,0.001,0.7545510530471802,0.2922269403934479
2,309,15.0,0.0009,0.0007,0.8556,0.001,-0.7533977627754211,0.48906031250953674
2,310,19.0,0.0009,0.0007,0.8556,0.001,-0.26957055926322937,0.23890571296215057
1,304,72.0,0.001123,0.000443,1,0.001018,17.123016357421875,142.248291015625
3,307,61.0,0.001123,0.000443,1,0.001018,14.572042465209961,94.85640716552734
2,311,26.0,0.0009,0.0007,0.8556,0.001,0.13514143228530884,0.2855064570903778
3,308,32.0,0.001123,0.000443,1,0.001018,6.055095672607422,20.248275756835938
2,312,26.0,0.0009,0.0007,0.8556,0.001,-0.06001321226358414,0.2879904806613922
1,305,57.0,0.001123,0.000443,1,0.001018,15.611693382263184,83.35665893554688
3,309,68.0,0.001123,0.000443,1,0.001018,16.0467472076416,125.30108642578125
2,313,78.0,0.0009,0.0007,0.8556,0.001,0.695554256439209,0.240073561668396
