Coordinator ID,Episode Number,Episode Reward,Agent ID,Agent Reward, Actor Learning Rate, Critic Learning Rate, Entropy
15,1,-205.2555784035431,agent_1,46.03736305948758,0.0005,0.0005,0.0001
0,2,-411.0779568387783,adversary_0,-411.0779568387783,0.0007,0.0005,0.0001
0,2,-411.0779568387783,agent_0,290.61054527977325,0.0007,0.0005,0.0001
0,2,-411.0779568387783,agent_1,290.61054527977325,0.0007,0.0005,0.0001
1,2,-64.22659886405047,adversary_0,-64.22659886405047,0.0006,0.0001,0.0001
1,2,-64.22659886405047,agent_0,-22.761531629689465,0.0006,0.0001,0.0001
1,2,-64.22659886405047,agent_1,-22.761531629689465,0.0006,0.0001,0.0001
2,2,-255.0763094186787,adversary_0,-255.0763094186787,0.0002,0.0002,0.0001
2,2,-255.0763094186787,agent_0,145.02069042469597,0.0002,0.0002,0.0001
2,2,-255.0763094186787,agent_1,145.02069042469597,0.0002,0.0002,0.0001
3,2,-693.5777836862305,adversary_0,-693.5777836862305,0.001,0.0003,0.0001
3,2,-693.5777836862305,agent_0,589.2673312696318,0.001,0.0003,0.0001
3,2,-693.5777836862305,agent_1,589.2673312696318,0.001,0.0003,0.0001
4,2,-84.80935746157273,adversary_0,-84.80935746157273,0.0004,0.0002,0.0001
4,2,-84.80935746157273,agent_0,-47.147626105131884,0.0004,0.0002,0.0001
4,2,-84.80935746157273,agent_1,-47.147626105131884,0.0004,0.0002,0.0001
5,2,-583.1087842807342,adversary_0,-583.1087842807342,0.0009,0.0001,0.0001
5,2,-583.1087842807342,agent_0,496.4030671991226,0.0009,0.0001,0.0001
5,2,-583.1087842807342,agent_1,496.4030671991226,0.0009,0.0001,0.0001
6,2,-572.5176595403279,adversary_0,-572.5176595403279,0.001,0.0009,0.0001
6,2,-572.5176595403279,agent_0,438.76273425545753,0.001,0.0009,0.0001
6,2,-572.5176595403279,agent_1,438.76273425545753,0.001,0.0009,0.0001
7,2,-28.999365860657726,adversary_0,-28.999365860657726,0.0,0.0001,0.0001
7,2,-28.999365860657726,agent_0,-165.72348219417808,0.0,0.0001,0.0001
