Agent ID,Episode Number,Episode Score,Actor Learning Rate,Critic Learning Rate,Discount Factor,Unroll Length
6,3,-472.7612791775059,0.00430000014603138,0.0006000000284984708,0.99,404
7,3,-370.35006620400776,0.003000000026077032,0.0032999999821186066,0.99,127
8,3,-610.7736033662836,0.004600000102072954,0.002199999988079071,0.99,76
9,3,-566.6124700537132,0.004600000102072954,0.0003000000142492354,0.99,394
10,3,-468.6308501327171,0.0015999999595806003,0.00039999998989515007,0.99,471
11,3,-366.234813546437,0.002400000113993883,9.999999747378752e-05,0.99,423
12,3,-608.3999429425816,0.0026000000070780516,0.002199999988079071,0.99,495
13,3,-89.5975891196597,0.0003000000142492354,0.0005000000237487257,0.99,184
14,3,-583.4853435749656,0.0024999999441206455,0.004000000189989805,0.99,345
15,3,-28.317035399753465,0.0015999999595806003,0.0005000000237487257,0.99,14
16,3,-867.2500605612754,0.0031999999191612005,0.0035000001080334187,0.99,265
1,4,-44.077519914452836,0.00430000014603138,0.002400000113993883,0.99,429
2,4,-404.60238955584623,0.0027000000700354576,0.004600000102072954,0.99,132
3,4,-772.5844254070603,0.0032999999821186066,0.0015999999595806003,0.99,160
4,4,-201.92889509887897,0.003000000026077032,9.999999747378752e-05,0.99,254
5,4,-1164.2157538013382,0.0024999999441206455,0.004399999976158142,0.99,216
6,4,-859.0649699700859,0.00430000014603138,0.0006000000284984708,0.99,404
7,4,-550.5922300016418,0.003000000026077032,0.0032999999821186066,0.99,127
10,4,-454.9481074360736,0.0015999999595806003,0.00039999998989515007,0.99,471
11,4,-299.93780549915243,0.002400000113993883,9.999999747378752e-05,0.99,423
12,4,-334.3176015543973,0.0026000000070780516,0.002199999988079071,0.99,495
13,4,-146.61607781808425,0.0003000000142492354,0.0005000000237487257,0.99,184
14,4,-499.6123773687409,0.0024999999441206455,0.004000000189989805,0.99,345
15,4,-272.85699448383207,0.0015999999595806003,0.0005000000237487257,0.99,14
16,4,-529.915596957121,0.0031999999191612005,0.0035000001080334187,0.99,265
8,4,79.37915897110595,0.0003000000142492354,0.0005000000237487257,0.99,184
1,5,-46.07599811176932,0.00430000014603138,0.002400000113993883,0.99,429
2,5,-890.3205780775371,0.0027000000700354576,0.004600000102072954,0.99,132
3,5,-383.599429142742,0.0032999999821186066,0.0015999999595806003,0.99,160
4,5,-126.11993213178742,0.003000000026077032,9.999999747378752e-05,0.99,254
5,5,-554.4366761898737,0.0024999999441206455,0.004399999976158142,0.99,216
